PCA_components,Model,MSE,R2,RMSE,MAE,Best Params
1,1,0.018554494198431994,0.1268734193656531,0.13621488244106073,0.09583634996516863,{}
1,2,0.01688001871359732,-0.03596419092273773,0.12992312616927487,0.10132051060960183,{}
1,3,0.019245958374863717,-0.007899128510190145,0.13872980348455669,0.1049403128077199,{}
1,4,0.020351891189084516,-0.029001162033304162,0.14266005463718467,0.1052061359979783,{}
1,5,0.019169758747725682,-0.4158032444990669,0.13845489788276066,0.10098007943190408,{}
1,6,0.02163213305038851,-0.2722605267182052,0.1470786627977985,0.11483314838809838,{}
1,7,0.021301862550190093,-0.19671985987666707,0.1459515760455847,0.10630180582492982,{}
1,8,0.015066331398106219,-0.25890561527827916,0.12274498522589922,0.0942616424313536,{}
1,9,0.021564671665786177,-0.08147947541947409,0.1468491459484398,0.10621920028683868,{}
1,10,0.021564671665786177,-0.08147947541947409,0.1468491459484398,0.10621920028683868,{}
2,1,0.011276792537952716,0.3079182282912225,0.10619224330407902,0.08065021209377446,{}
2,2,0.010892660177800897,0.310013600993458,0.1043679077964146,0.08408755818063389,{}
2,3,0.013089989332217706,0.31904969667457705,0.11441149125947842,0.08970593233664928,{}
2,4,0.011406309791117014,0.41283993073839675,0.1068003267369394,0.08313736878744492,{}
2,5,0.01096440474811464,0.3126043507449696,0.1047110536099921,0.08175409902011474,{}
2,6,0.012502008906144862,0.057733970547558466,0.11181238261545481,0.09062349415616454,{}
2,7,0.012874300837894774,0.38395664995952683,0.11346497626093602,0.0854203567408012,{}
2,8,0.011095913126406223,0.21064305606387845,0.1053371402991662,0.08221568216611708,{}
2,9,0.01096440474811464,0.3126043507449696,0.1047110536099921,0.08175409902011474,{}
2,10,0.011436748297146854,0.49379028037512995,0.10694273372766779,0.08202006795560414,{}
3,1,0.006467863623861589,0.48081510191976495,0.08042302918854517,0.06209362606658969,{}
3,2,0.006237839874031863,0.5759594937624772,0.07897999667024469,0.05697246318210212,{}
3,3,0.009456544785193139,0.5814374191021704,0.09724476739235453,0.06580436762277639,{}
3,4,0.007563606408798795,0.5079353746588382,0.08696899682529859,0.056177722171059694,{}
3,5,0.008907334266420704,0.45760651614050474,0.09437867484988706,0.06806626381641664,{}
3,6,0.006459599440348541,0.5908221055170575,0.08037163330646294,0.06210780559900528,{}
3,7,0.009088795199659529,0.3735180210529341,0.09533517294083821,0.06455727000953157,{}
3,8,0.00783870646397207,0.6493108021436149,0.08853646968324448,0.06167800932571643,{}
3,9,0.00515095087868912,0.7374614068289765,0.07177012525200942,0.05439455136254123,{}
3,10,0.00609329870631774,0.6938255184957755,0.07805958433349322,0.05599370344417004,{}
4,1,0.007293714580880628,0.5626349745066231,0.08540324689893604,0.061767115760959376,{}
4,2,0.008351088948274072,0.5349715354724736,0.09138429267808594,0.06417311988923094,{}
4,3,0.00781585536533159,0.5491116330873647,0.08840732642338864,0.060540536002164816,{}
4,4,0.009202743148380692,0.5338401879894241,0.09593092904991952,0.06829805494902934,{}
4,5,0.00668019912576033,0.5462073249207069,0.08173248513143552,0.05973489901659515,{}
4,6,0.005095071457670518,0.7121383396171902,0.07137976924640846,0.053937416907256626,{}
4,7,0.008945164562876046,0.6160754049128845,0.09457888011007556,0.06207862006389753,{}
4,8,0.007387153694405569,0.6042742291476972,0.08594855260215595,0.06439118407788048,{}
4,9,0.005879451094289433,0.6525441407139845,0.0766775788238611,0.05332664189874423,{}
4,10,0.00595950138472165,0.5946658496105066,0.07719780686471378,0.05465613919484656,{}
5,1,0.00466261630707615,0.6103944775223284,0.06828335307434857,0.052574267101617875,{}
5,2,0.00906856261113305,0.37491263407048414,0.09522900089328382,0.06339676676747316,{}
5,3,0.007981529468063256,0.6586662774261443,0.08933940602031813,0.0644191185807811,{}
5,4,0.00819686438682082,0.5295499358862751,0.09053653619849182,0.06409067015256625,{}
5,5,0.005915514795258406,0.664525161598507,0.07691238388750153,0.05931484077367764,{}
5,6,0.008011654525004531,0.5121470600157383,0.08950784616448175,0.06398244726805173,{}
5,7,0.008451427440785803,0.6805739394211178,0.09193164548068201,0.06769730274732463,{}
5,8,0.007605900229095755,0.6444491501398157,0.08721181244014915,0.06254137426930378,{}
5,9,0.007320169453764838,0.6259717904792411,0.08555798883660624,0.055054733502706885,{}
5,10,0.00819686438682082,0.5295499358862751,0.09053653619849182,0.06409067015256625,{}
6,1,0.004529566503832642,0.7220104563868875,0.06730205423189281,0.05102587895814372,{}
6,2,0.006199739251029645,0.7091331585474749,0.07873842296509148,0.05331729336360679,{}
6,3,0.008320501513486636,0.5218596086506124,0.09121678306916242,0.06150103071749376,{}
6,4,0.006379901410686966,0.6640949658555566,0.07987428504022409,0.05789797515193225,{}
