PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},0.02319250980327321,0.014738446525226878,-0.006230044281832825,-0.6784721516045693,0.15229087235705627,0.12140200379411732,0.09710789665643041,0.07370289737535572
2,{},0.015445943498277768,0.008314850085752588,0.36847920880643736,0.14366616449944392,0.12428171023234982,0.0911857998032182,0.06654374898244016,0.050201316840903114
3,{},0.014141803446283715,0.0058336116009629,0.6838078431517112,0.4520607046610947,0.11891931485794775,0.07637808325012418,0.05803099324413978,0.03389153897612317
4,{},0.007939292911467133,0.0027614174055182903,0.8197311702090756,0.6237485270837491,0.08910270989968337,0.05254919034122496,0.046993753102875964,0.026454155405959
5,{},0.0071911795190458365,0.0038059832464712134,0.8206228943843152,0.6122531693647414,0.08480082263189336,0.061692651478690824,0.04366083190075405,0.027187132608510935
6,{},0.00774541166577556,0.0023967876946822276,0.865230796133902,0.6381918894323813,0.08800802046277123,0.04895699842394576,0.04549782234937091,0.024015870341450193
7,{},0.007158677458536991,0.0025712109663866213,0.832148087742964,0.6675568299793735,0.08460896795574918,0.05070710962366738,0.039227551559052616,0.026447148403628277
8,{},0.005702335691309875,0.0033466526002697964,0.8167506449444095,0.567613788687942,0.07551381126197959,0.05785026015732165,0.03592895021380901,0.028940825272302913
9,{},0.007547302961859207,0.0025861079387194588,0.8545854900764475,0.5893850342171812,0.08687521488813255,0.050853789816683856,0.04519950715102306,0.0249633435419092
10,{},0.006470220800643684,0.004170214364454338,0.8034565750686551,0.5726052971431106,0.08043768271552633,0.0645771969386589,0.040892290640557466,0.030047901605108684
11,{},0.007620863371644718,0.0029408269032840497,0.8385595565450017,0.5591112939138672,0.08729755650443326,0.0542293915075953,0.04263081494592337,0.025561596716255176
12,{},0.007006927819721037,0.0028787750600090733,0.8037504487121931,0.597030070427949,0.08370739405644544,0.05365421754167209,0.04310070697126284,0.029908851726234455
13,{},0.006116655681600735,0.0032866828682830283,0.805181609056742,0.6108490086976524,0.07820905114883274,0.05732959853586128,0.038628034236209245,0.030477514705159442
14,{},0.007464157509469717,0.0028671311465439152,0.7895699489495764,0.5981718633750731,0.0863953558327629,0.05354559875978525,0.04287651772463703,0.027879843338797283
15,{},0.0067763079425275955,0.002791096699263093,0.8407072633533114,0.6309627576197236,0.08231833296737487,0.05283083095374417,0.04156186546744498,0.026601068782549378
16,{},0.007265202335480054,0.0025364679745984056,0.8074420579070616,0.6149076378503856,0.08523615626880446,0.05036335944512047,0.04259117784764788,0.026317758374368328
17,{},0.006742022488995068,0.0032335737099001716,0.7913953234393933,0.6990857996630857,0.08210981968677722,0.05686452066007566,0.04250236017460218,0.02710190177336719
18,{},0.005875851649227558,0.0031331758586431342,0.7797052116401326,0.6652889216189308,0.07665410392945414,0.055974778772614496,0.03959978759271731,0.02985064862414704
19,{},0.00724854234845589,0.004399202425015221,0.7385727719406535,0.6277296218866146,0.08513837177475202,0.06632648358698975,0.04240241557843339,0.031093151479324503
20,{},0.006753615611893986,0.003249693124905819,0.7987279308984025,0.6127735416098539,0.08218038459324699,0.05700607971879683,0.04187122776950022,0.029279437501960846
