PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},0.030338123234018237,0.019728336881223982,-0.06885894501307832,-0.7043690193753211,0.17417842356049223,0.14045759816123862,0.13203272716561462,0.10311043593766632
2,{},0.02108161278236834,0.013123986206148318,0.3310841131074881,-0.14845448117502058,0.14519508525555658,0.1145599677293439,0.1102656686452473,0.09368694560013788
3,{},0.011765631973715534,0.005331179182509009,0.6987987108669607,0.13103653826917805,0.10846949789556294,0.07301492438199884,0.07606462044746623,0.05367281148252451
4,{},0.00905874583102083,0.005044554883986627,0.6844705720105525,0.4592264464033804,0.09517744391934903,0.07102502998230009,0.06925422773498789,0.05407658370528481
5,{},0.0092091450293387,0.00432246077239055,0.7544724346687777,0.47842131934579635,0.09596429038626139,0.06574542396540271,0.06424357662011622,0.04928124974518389
6,{},0.009070857541413171,0.004859837715405025,0.7674537247072196,0.47874014953355937,0.0952410496656414,0.06971253628584334,0.06281855493999458,0.050768170271332236
7,{},0.008804812618686472,0.004688336710668672,0.7145472857543296,0.4940285096477751,0.09383396303410867,0.06847142988625747,0.061779558556688166,0.0523743086689768
8,{},0.0103902689774171,0.004741954355416877,0.7313963794313436,0.43046927778488964,0.10193266884280573,0.06886184978213174,0.06781053605941335,0.04862901578925585
9,{},0.008883515520957045,0.004347905725135768,0.7454122995749197,0.3438983629034461,0.09425240326356164,0.06593865122320723,0.061596144671033554,0.047061813265470716
10,{},0.009153499044263989,0.004234676432161751,0.6907013592104496,0.556987369118999,0.09567392039769244,0.06507439152356134,0.06417099672238845,0.04740515668578373
11,{},0.007578853576322817,0.004160905980407416,0.7187286264990025,0.5976381127764524,0.08705661133034537,0.06450508491900012,0.06462659641294319,0.04769327968746777
12,{},0.006900621827931482,0.004261714696188328,0.7212294280692728,0.5977524156481642,0.08306998150915577,0.06528180984155026,0.05904542573610569,0.04785953060011521
13,{},0.008047472442946025,0.003936713329956099,0.7763839418775049,0.4859318037646251,0.08970770559403482,0.06274323333998734,0.0649565973915905,0.04804393235788007
14,{},0.0076226265923847675,0.0046331112683847845,0.7819777485605008,0.5452148334171572,0.0873076548326936,0.06806696165089775,0.058977779881416545,0.04721572787863057
15,{},0.007469702652976846,0.00436763897622314,0.745049295718814,0.5504486017853951,0.08642744155056799,0.0660881152418734,0.061670498750156386,0.04753601361779729
16,{},0.007816687018753607,0.0036606427066599202,0.7705019170814653,0.5384490210593367,0.0884120298305248,0.06050324542253845,0.06026050590402144,0.04469339773204564
17,{},0.00877222510527281,0.003831573247925255,0.7754804185161541,0.5191605038812475,0.09366015751253469,0.06189970313277161,0.05851236138107673,0.045043134796738715
18,{},0.007654214766051003,0.003732241575787309,0.7660131416066079,0.6027022896535532,0.0874883693187329,0.06109207457426298,0.058201175864115065,0.045874532852801145
19,{},0.00793644225685237,0.0037761100814647725,0.7632628764864524,0.5134079644674614,0.08908671201055952,0.061450061688046925,0.059528469632571045,0.04674350728513038
20,{},0.008178880228909573,0.00397234234150067,0.7587123604882214,0.6051741082012783,0.09043716176942736,0.06302652093762331,0.06383351421215806,0.04647173409045063
