PCA_components,Model,MSE,R2,RMSE,MAE,Best Params
1,1,0.02376786658935803,-0.06908696065303732,0.15416830604685916,0.11117620450427587,{}
1,2,0.01688629732663147,-0.0798531629805348,0.12994728672285338,0.09757414595494376,{}
1,3,0.024065873058041767,-0.25072179248030246,0.1551317925444097,0.10763200574067705,{}
1,4,0.0164151503097577,-0.04892226040560832,0.12812162311552916,0.0965603902063035,{}
1,5,0.019974639703023375,-0.14257429497379515,0.14133166560620225,0.10324939713029918,{}
1,6,0.015089885188499082,0.2505874405275854,0.12284089379558862,0.09038647574009234,{}
1,7,0.01997621533896342,-0.03197734716722822,0.14133723974580592,0.10382701892212466,{}
1,8,0.023736842862786194,-0.2267044769591675,0.15406765677060905,0.11415853429274975,{}
1,9,0.01910106178466324,-0.16269092412988795,0.1382065909595604,0.10122417637864507,{}
1,10,0.01999228060468051,-0.3326965796452448,0.14139406141942634,0.10413308049717326,{}
2,1,0.012674584268882405,0.26064390520843717,0.11258145615012449,0.08112265192023739,{}
2,2,0.014517463812641816,0.13653736179439435,0.12048843850196506,0.08897404222557623,{}
2,3,0.012617034674963888,0.3341657405987759,0.11232557444751345,0.08110842591769066,{}
2,4,0.012172813423046422,0.18336011765305238,0.11033047368268852,0.07423367487922554,{}
2,5,0.010037670347929373,0.3113209510766508,0.10018817469107506,0.0760220039139547,{}
2,6,0.008873607239015206,0.41056933785458116,0.09419982610926203,0.07366388979637079,{}
2,7,0.010037670347929373,0.3113209510766508,0.10018817469107506,0.0760220039139547,{}
2,8,0.009217972725000127,0.36432532628811076,0.09601027405960326,0.07297042444343778,{}
2,9,0.013348255897411423,0.27045832784912804,0.11553465236634168,0.08274741007186831,{}
2,10,0.01172570934875241,0.34117843493854305,0.10828531455720304,0.0792367586644432,{}
3,1,0.004852282097309436,0.6358320119346859,0.06965832396282182,0.05164601075635436,{}
3,2,0.007763816352079799,0.6190689109326689,0.08811252097221937,0.06474234153142588,{}
3,3,0.009216886888794197,0.2664060819205025,0.09600461910134427,0.0634140983081769,{}
3,4,0.008204778539126623,0.5390057115218203,0.09058023260693596,0.0656151777847439,{}
3,5,0.011679360471307042,0.5431035240932429,0.10807108989598949,0.07557861486365042,{}
3,6,0.007209401051589937,0.627560153630659,0.08490819189919155,0.06499385377590326,{}
3,7,0.00686288968758308,0.596207050175928,0.08284255963925234,0.06104620555030663,{}
3,8,0.006906867911319289,0.4565072717111589,0.0831075683155228,0.0611180521858572,{}
3,9,0.006995932391277134,0.4916761241883234,0.08364169050944113,0.06229745977241181,{}
3,10,0.009060727025272601,0.4309458875365667,0.0951878512483216,0.061743513887724776,{}
4,1,0.0045783936951278555,0.7071695189857031,0.06766382855801063,0.049253611472109576,{}
4,2,0.005335019545124875,0.7166238065219135,0.07304121812459644,0.05282677673040364,{}
4,3,0.003719987985261278,0.7447736677042297,0.060991704233127296,0.04408979463699248,{}
4,4,0.006031807791704908,0.6290217282617623,0.07766471394207866,0.049908117987714155,{}
4,5,0.005521847646839251,0.6677736719305059,0.07430913568895316,0.05547921639883118,{}
4,6,0.005264473789323517,0.6906434841864884,0.07255669362177081,0.05451218960986215,{}
4,7,0.006314622663896728,0.6548777298977024,0.07946460006755668,0.053553240051870725,{}
4,8,0.003719987985261278,0.7447736677042297,0.060991704233127296,0.04408979463699248,{}
4,9,0.004185088480493603,0.7113948116728539,0.06469225981903556,0.048945411009073916,{}
