PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},0.023192241169201922,0.018503534766830795,-0.11247483427948501,-0.6702518903389234,0.15228999037757512,0.13602769852802332,0.11338237450991458,0.1005115440480851
2,{},0.01609275775066653,0.010306603460975228,0.3429895477916286,0.04292116520856759,0.1268572337340939,0.10152144335545682,0.08693744035720628,0.0763515842867687
3,{},0.009697028468259063,0.005712239236607572,0.6565018086170636,0.3267435567390484,0.09847349119564647,0.07557935721218838,0.07279506547300427,0.05468678166711883
4,{},0.00649752089075272,0.003282282436122696,0.7844988106087087,0.5844933705895445,0.08060720123383965,0.05729120731947177,0.05273177795428531,0.042445726008904644
5,{},0.00701880604507445,0.003777430521123009,0.7913749217432238,0.6491991210925236,0.08377831488562211,0.06146080475492498,0.05517538003446878,0.04464740030211749
6,{},0.007094226173706324,0.0038460233715066103,0.7886963989659427,0.6112265935113343,0.08422722940775343,0.062016315365447265,0.05390094659838941,0.04483771611429233
7,{},0.008147042907345657,0.0039324064765973955,0.7525590463533309,0.4916104401513163,0.0902609711190039,0.06270890269010769,0.05882161188026637,0.04374387939370797
8,{},0.006404047177377559,0.0033499200420473454,0.7738530611774711,0.4902866751972299,0.08002529086093695,0.05787849377832275,0.05558255234910048,0.04199417844209327
9,{},0.00770185877257092,0.0037522611057766143,0.767464282833044,0.51973474793836,0.08776023457449804,0.06125570263882877,0.05458136066774409,0.04376742040124704
10,{},0.0076052417232567926,0.003329939904091529,0.7741226056021446,0.5254197705595411,0.08720803703361744,0.0577056314764125,0.05703445738626767,0.0406663890304977
11,{},0.00894462459964477,0.00397491073995157,0.7302421422633114,0.5896594885313805,0.09457602550141748,0.06304689318238901,0.05854691969808068,0.045394594287650754
12,{},0.0068530457973308935,0.003651845083265102,0.7903840595623322,0.5079061979112847,0.0827831250758927,0.06043049795645492,0.05079391113286713,0.04268453266062005
13,{},0.007490336622865246,0.0031930908527967993,0.7923504240288088,0.6807102774317194,0.08654673086180231,0.05650744068524781,0.05484843688230897,0.04311912855203765
14,{},0.006131754464476514,0.00305029970054982,0.7752290599726628,0.5077652731864418,0.07830552001280953,0.05522951838057091,0.05408133302474383,0.04200065786134198
15,{},0.007379924629907305,0.003489660687082008,0.7847354298864043,0.579950057322709,0.08590648770557031,0.05907335005805924,0.0556306597953823,0.03964859703949086
16,{},0.006244819827510812,0.003284653390676207,0.7819847846084593,0.5182903749830525,0.07902417242534598,0.057311895716999336,0.05263049151462448,0.04002851722299438
17,{},0.010335825380794956,0.003353979178327748,0.7999050177429002,0.5956626046713374,0.10166526142589197,0.057913549177439884,0.06213803376903832,0.04114193715260196
18,{},0.007608520120287007,0.003519162203918073,0.7346293965454185,0.5604819733210631,0.08722683142409225,0.059322526951555876,0.055942420111809305,0.04364278228715489
19,{},0.0069893606673181174,0.004258485213445958,0.7540967094778657,0.578796524923064,0.08360239630129102,0.06525707021806877,0.056272948901119065,0.04241193507616265
20,{},0.008311451093649197,0.003525036745908605,0.7879133780386703,0.47471516845855277,0.09116716017102429,0.05937201989075835,0.053711806481664376,0.042809234921198924
