PCA_components,Model,MSE,R2,RMSE,MAE,Best Params
1,1,0.024357455222174317,-0.25384329877013734,0.15606875158779965,0.1155460793789913,{}
1,2,0.030338123234018237,-0.7043690193753211,0.17417842356049223,0.13203272716561462,{}
1,3,0.02087125434246633,-0.11806164525612584,0.14446886980407345,0.11750683972853142,{}
1,4,0.025596230425747622,-0.23562813266416316,0.15998821964678406,0.12165357429932684,{}
1,5,0.02089380499455657,-0.2982598709898572,0.14454689548570931,0.10894767169863327,{}
1,6,0.020187149473176264,-0.2895442128423855,0.14208148884769,0.10311043593766632,{}
1,7,0.027027401219702204,-0.350046772786061,0.16440012536401,0.12933571185397905,{}
1,8,0.020884833913362152,-0.3919280143665369,0.14451586042148507,0.10973262673233365,{}
1,9,0.020884833913362152,-0.3919280143665369,0.14451586042148507,0.10973262673233365,{}
1,10,0.021556901429442926,-0.3633548320764455,0.14682268703930917,0.11224777038575046,{}
2,1,0.014719206874044231,0.22571008124026926,0.12132273848724415,0.09172797168869766,{}
2,2,0.015317510763416212,-0.07655957692432658,0.12376393159324009,0.09509444937406361,{}
2,3,0.013350893364652592,0.14126582820910683,0.11554606598518442,0.08536648765144528,{}
2,4,0.021679839167851333,0.23582958100988038,0.14724075240181073,0.11223239069864224,{}
2,5,0.015160832917621271,0.017983402667991477,0.12312933410695143,0.09840382298787151,{}
2,6,0.021249872804379302,-0.24487618183761772,0.14577336109309993,0.10597053917802074,{}
2,7,0.022271741699216717,-0.076251548186554,0.1492371994484509,0.1083243594247384,{}
2,8,0.015290770789139305,0.041369818455704754,0.123655856267058,0.09644077555780507,{}
2,9,0.020521840535867746,0.11978670010797954,0.1432544607887229,0.10438760844221717,{}
2,10,0.012001506815014891,0.32193813029556073,0.1095513889232578,0.08645608621145387,{}
3,1,0.006059463654370056,0.5689332047199699,0.07784255683345746,0.05800645098027237,{}
3,2,0.006822617677609887,0.652212880050234,0.08259913847982851,0.06199339732586873,{}
3,3,0.006059463654370056,0.5689332047199699,0.07784255683345746,0.05800645098027237,{}
3,4,0.008632375498981429,0.5950036454833336,0.09291057797140985,0.06395049774697985,{}
3,5,0.0067571938201813645,0.43538549505029067,0.08220215216271022,0.06026599461695233,{}
3,6,0.0063615044055745015,0.5925913809205947,0.07975903964802047,0.05687915049988972,{}
3,7,0.007063937506511076,0.6284082665021018,0.08404723378262415,0.06376346213582794,{}
3,8,0.008874405863699373,0.4579389046765171,0.09420406500623725,0.06452830975502441,{}
3,9,0.005211219223645179,0.7268794021083429,0.07218877491442266,0.05713246776030831,{}
3,10,0.010138357174533598,0.23588043875708342,0.10068940944574856,0.07463403038582501,{}
4,1,0.007111350884958348,0.5628541443355066,0.08432882594319897,0.061008976946730534,{}
4,2,0.008408139936085803,0.5363050227708424,0.09169591013827064,0.0661476959213474,{}
4,3,0.008040216465055403,0.4641373455155213,0.08966725414026797,0.06349686177588804,{}
4,4,0.010453615431137127,0.2279369376046334,0.1022429236237752,0.07100124042471227,{}
4,5,0.005285109208030325,0.5552783335027474,0.07269875657829593,0.05659982012175447,{}
4,6,0.005631776709430543,0.657105270601775,0.07504516446401155,0.057269997220974804,{}
4,7,0.006622536983419337,0.6691973967662095,0.08137897138339448,0.059881514833240196,{}
4,8,0.007699630917631326,0.6844705720105525,0.0877475408067447,0.06067946717321619,{}
4,9,0.005044554883986627,0.6573182906238513,0.07102502998230009,0.05407658370528481,{}
4,10,0.0066411284499590184,0.6614644047243698,0.08149311903442534,0.059981716315006664,{}
5,1,0.00761771058369594,0.5266650587480965,0.08727949692623085,0.06372967947315783,{}
5,2,0.008137932120155665,0.5512065358292932,0.09021048786119974,0.0650945805859443,{}
5,3,0.007795519228147589,0.5238388060760321,0.08829223764379057,0.059201924048172844,{}
5,4,0.008164266682247066,0.5290121555055868,0.09035633172194998,0.06335040740293114,{}
5,5,0.008382515197842734,0.550953259459104,0.09155607679363907,0.06706871119927586,{}
5,6,0.0063436573223898465,0.6734489645645916,0.07964707981081194,0.05881700787836413,{}
5,7,0.007678754742489118,0.5143612166726413,0.08762850416667581,0.06336269833737397,{}
5,8,0.006610218345657996,0.7042710835073536,0.08130324929335848,0.05631847568735739,{}
5,9,0.007795519228147589,0.5238388060760321,0.08829223764379057,0.059201924048172844,{}
5,10,0.004736970615780229,0.7030232769821672,0.06882565376209825,0.05302866409493859,{}
6,1,0.006724058871810426,0.596794178429003,0.08200035897366807,0.06059687796488784,{}
6,2,0.006550638655027863,0.6905042102793619,0.08093601580895778,0.05683306367384034,{}
6,3,0.006603181759225943,0.594092094885864,0.08125996406119032,0.057679159775426855,{}
6,4,0.004154730710822144,0.7327662547722789,0.06445720061267123,0.04862236607053142,{}
6,5,0.0070388814087646075,0.5809180966558847,0.08389804174570827,0.058400063572135986,{}
6,6,0.007757839682680818,0.4974994204323203,0.08807859945912411,0.061093403333903534,{}
6,7,0.007595921437305109,0.5374622565771856,0.08715458357025814,0.06217039028207664,{}
6,8,0.009114844762042442,0.3268132918607515,0.09547169613054145,0.06460244697223827,{}
6,9,0.008302009672143857,0.5992301781190379,0.09111536463266696,0.06434249698855023,{}
6,10,0.004094920761211415,0.7673973281269442,0.06399156789149188,0.046624115090591195,{}
7,1,0.007507739239647319,0.6371987386897746,0.08664721137836646,0.055901756564609224,{}
7,2,0.007685129329292339,0.5789946567212283,0.08766486941353611,0.059200077827702584,{}
7,3,0.005110690430830504,0.7394794212598992,0.07148909308999873,0.05172705777416825,{}
7,4,0.006927114316510634,0.5383231432019355,0.08322928761265853,0.061708100931359526,{}
7,5,0.008437623680318342,0.5926835702437165,0.09185653858228243,0.06262171365326763,{}
7,6,0.005414341372250546,0.7577724026939722,0.07358220825886205,0.05035572937383608,{}
7,7,0.007537179462471551,0.5962374310558178,0.08681693073630023,0.06397719245152202,{}
7,8,0.007723081832117356,0.5851813658614994,0.08788106640293662,0.05729159697517871,{}
7,9,0.004432162570499039,0.7495914066701396,0.06657448888650246,0.04914900604713309,{}
7,10,0.007786319118764104,0.7087077035311624,0.08824012193307591,0.06457714505667504,{}
8,1,0.007742084589066379,0.6085565727187932,0.08798911631029362,0.06071750244389709,{}
8,2,0.006243318707000187,0.610883633607338,0.07901467399793653,0.05268233427874487,{}
8,3,0.004079526680230687,0.737603404554051,0.06387117252901098,0.049376387958080796,{}
8,4,0.005542911475558029,0.7408870973227679,0.07445073186717528,0.05265730940278583,{}
8,5,0.007067853697014839,0.7083680886059571,0.08407052811190636,0.05978413937650507,{}
8,6,0.007435091321996589,0.7218474104894278,0.08622697560506566,0.06370970496287207,{}
8,7,0.008389396603853044,0.5571751695479716,0.09159364936420562,0.05553831163902568,{}
8,8,0.006513809522842265,0.6021274236370644,0.08070817506821887,0.05363463355507305,{}
8,9,0.005177264768953591,0.6684334151714929,0.0719532123602108,0.05427890723655423,{}
8,10,0.0038635873960935195,0.7373581899476569,0.062157762154806694,0.047791375001262446,{}
9,1,0.008490541581502762,0.5901290203612761,0.09214413481878682,0.06362831789828603,{}
9,2,0.005707843816269709,0.7148872708448031,0.07555027343610153,0.054500290527165186,{}
9,3,0.008614132620052393,0.6963692727359705,0.09281235165672937,0.059520569251944266,{}
9,4,0.006463175568724213,0.660010778511305,0.08039387768184972,0.05747279992940114,{}
9,5,0.005505739660158946,0.7165822654831908,0.07420067156137433,0.05451772968417555,{}
9,6,0.005108241852129661,0.7433223979562407,0.07147196549787659,0.053054803501375966,{}
9,7,0.010736644519930014,0.31414894289960305,0.10361778090622291,0.07231508118726482,{}
9,8,0.007758283073358345,0.607737569757115,0.08808111644023561,0.06022647043677969,{}
9,9,0.010325843889351954,0.43400066537593884,0.10161615958769528,0.06477016848090811,{}
9,10,0.006707403247183129,0.7251318754731522,0.08189873776306403,0.057307507057910316,{}
10,1,0.007192896377661732,0.532052612220204,0.08481094491668945,0.05643520193940785,{}
10,2,0.006844563007380759,0.622533698062067,0.08273187419236167,0.05870464165853729,{}
10,3,0.008454540300878841,0.6804562872678431,0.09194857421884714,0.0661857666508433,{}
10,4,0.007166387904167538,0.6009413402341481,0.0846545208725886,0.06025907616489489,{}
10,5,0.0077055584943606535,0.5802421618091437,0.08778131062111487,0.06023308187042009,{}
10,6,0.006304377659195632,0.6424723545386297,0.07940011120392484,0.05698549118129734,{}
10,7,0.006078701645226873,0.634032828777315,0.07796602878963936,0.06004883286001225,{}
10,8,0.008313478688409662,0.539921329127133,0.09117827969648068,0.05964279202383365,{}
10,9,0.006509071993753353,0.5471142250727239,0.08067881998240525,0.04847121772833193,{}
10,10,0.005954092105784904,0.648133107035632,0.07716276372567861,0.051460335530586106,{}
11,1,0.005034003478332607,0.7363723011395826,0.07095071161258784,0.05047328151925736,{}
11,2,0.007335981352735025,0.5878710344779423,0.0856503435646059,0.055455627102399575,{}
11,3,0.004431532956018814,0.6987499653683985,0.06656976007181349,0.050014567838157116,{}
11,4,0.007073979409083534,0.646864461428718,0.08410695220422348,0.06261626879265306,{}
11,5,0.00678385375020339,0.7219989482269576,0.08236415330836219,0.05914750627417779,{}
11,6,0.005005532568013144,0.6926343089561406,0.07074978846620776,0.052545925296767576,{}
11,7,0.005775944361870105,0.6522602781610405,0.07599963395879025,0.0585419939795694,{}
11,8,0.009591570366398544,0.4742490295655488,0.09793656297011114,0.06032462101055738,{}
11,9,0.007757170234245476,0.6670638734177765,0.08807479908717065,0.05865743138734377,{}
11,10,0.009066626986889923,0.6804197628148054,0.09521883735317252,0.06070263656472884,{}
12,1,0.0064105677593412165,0.558125682467046,0.08006602125334578,0.05531930768387911,{}
12,2,0.005559969484883827,0.6534735411174308,0.07456520290915748,0.052016807496961574,{}
12,3,0.003915577251365786,0.7775845288093926,0.06257457352124572,0.047404807856771564,{}
12,4,0.004852259027188119,0.7526531205384506,0.06965815836776135,0.0498174797295109,{}
12,5,0.003915577251365786,0.7775845288093926,0.06257457352124572,0.047404807856771564,{}
12,6,0.007163200193063228,0.5339845533021097,0.08463569101190838,0.05575231016956867,{}
12,7,0.005085779658662238,0.6778455643027754,0.07131465248223705,0.053680623533407135,{}
12,8,0.006146700810973082,0.6651604362865688,0.0784008980240219,0.056590374740421424,{}
12,9,0.009341927073653339,0.44096960649181205,0.0966536449061976,0.06111401084217461,{}
12,10,0.004952858343065377,0.7406218224949597,0.07037654682538337,0.05092547779821875,{}
13,1,0.00487055546682915,0.753076417162319,0.06978936499803641,0.04996877488639551,{}
13,2,0.006321269644332558,0.6371976442311487,0.07950641259881217,0.05751793927795799,{}
13,3,0.00614479518614351,0.6611247332257082,0.07838874400156894,0.058591409168273316,{}
13,4,0.005216643496386235,0.7378754604558602,0.07222633519974715,0.053869293317201486,{}
13,5,0.0045749369334600245,0.7190751167975773,0.0676382800894584,0.05006754793491256,{}
13,6,0.0042869617776917415,0.6417839527767686,0.06547489425491072,0.048766253641683036,{}
13,7,0.007082539050823427,0.6205922684942635,0.08415782227947338,0.06083978766978637,{}
13,8,0.00614479518614351,0.6611247332257082,0.07838874400156894,0.058591409168273316,{}
13,9,0.00484215497017816,0.7464192907676694,0.06958559455934941,0.0498843772586751,{}
13,10,0.005546966920881183,0.7406975185762977,0.07447796265259397,0.05178385063770704,{}
14,1,0.004565048545836678,0.7672938509514138,0.06756514297947336,0.04934971609208005,{}
14,2,0.0076226265923847675,0.5635092450721194,0.0873076548326936,0.054334783178042564,{}
14,3,0.005791918287908161,0.6715344447742582,0.0761046535233435,0.05438772202456808,{}
14,4,0.00543552832369271,0.7370115461336251,0.07372603558915067,0.052985784535556274,{}
14,5,0.004113378086840372,0.707376624267628,0.06413562260429356,0.04822247735127274,{}
14,6,0.0066832688337997055,0.686447894410628,0.08175126197068584,0.057010446136881394,{}
14,7,0.00832355239212231,0.6315855684477825,0.09123350476728552,0.061035498924518296,{}
14,8,0.006833726458149803,0.7174632877047029,0.08266635626510825,0.057973488468888106,{}
14,9,0.0044437345170720306,0.7185153738822853,0.0666613419987329,0.049873095083491824,{}
14,10,0.006597874125384467,0.5452148334171572,0.08122729913880226,0.05557792623537404,{}
15,1,0.0038782020889375013,0.7167380662887572,0.06227521247605263,0.04479099769798794,{}
15,2,0.008333090508467799,0.5013394100210713,0.09128576290127502,0.05714925948060168,{}
15,3,0.007093882942081055,0.6955320254881705,0.08422519184947609,0.05795167383432246,{}
15,4,0.004894438974149593,0.7768233514451419,0.06996026711033623,0.05306285399452859,{}
15,5,0.004186451800083756,0.7525947262372141,0.06470279592168916,0.046600865854943524,{}
15,6,0.007377062008990073,0.5775708902400178,0.0858898248280323,0.05418449518764787,{}
15,7,0.006091065204177712,0.603734309318947,0.07804527662951623,0.05241470352221052,{}
15,8,0.0079761071814366,0.5109760641564598,0.08930905430826484,0.056429727550479244,{}
15,9,0.007469702652976846,0.6693783943301551,0.08642744155056799,0.057456182024395515,{}
15,10,0.0036851739462358227,0.768963970631777,0.060705633562593043,0.0450270555710803,{}
16,1,0.0038972728246198093,0.7153451493280667,0.06242814128756205,0.04563989494871808,{}
16,2,0.006189075949356734,0.6523031690102541,0.07867068036668257,0.051817438438287906,{}
16,3,0.00711570353367981,0.6402266926049549,0.08435462959245218,0.05917332056878048,{}
16,4,0.006788136604155725,0.6243357343421716,0.08239014870817823,0.05512000591602124,{}
16,5,0.00386862544533213,0.780251519496036,0.06219827526010774,0.04779571239271382,{}
16,6,0.0038972728246198093,0.7153451493280667,0.06242814128756205,0.04563989494871808,{}
16,7,0.006219490152091912,0.5953793830490731,0.07886374421806203,0.052671729305950404,{}
16,8,0.006622796877087075,0.5710198450575281,0.08138056817869407,0.05671774045336147,{}
16,9,0.0037405625870286434,0.803956685302175,0.061160138873523194,0.04794774394220304,{}
16,10,0.009092843221577282,0.6563312990521554,0.09535640105193402,0.06674196323457812,{}
17,1,0.006375765511802744,0.681719544599811,0.07984839079031426,0.05987853938915547,{}
17,2,0.006524118161817659,0.5774115873004847,0.08077201348126502,0.05630342582245374,{}
17,3,0.006615200836191853,0.6619925617830441,0.08133388492007407,0.05666292640496292,{}
17,4,0.004952122207929544,0.7741931111130408,0.07037131665621686,0.05248672950931232,{}
17,5,0.004363791362290913,0.7193193999072398,0.06605899910149195,0.05094578694539044,{}
17,6,0.007642207102287944,0.6617430572001426,0.08741971804054245,0.05837891161116075,{}
17,7,0.00877222510527281,0.5191605038812475,0.09366015751253469,0.05851236138107673,{}
17,8,0.005110224718038925,0.5699941924892228,0.07148583578611167,0.0555968660307616,{}
17,9,0.004749476459190888,0.7555122578814528,0.06891644549155802,0.05139148538376596,{}
17,10,0.004832885816620137,0.6120571681693463,0.06951896012326521,0.05084271924496839,{}
18,1,0.005282878505171866,0.7004026066779815,0.07268341286133904,0.052766155499071904,{}
18,2,0.0063693596730549406,0.7002042967555492,0.07980826819982338,0.05572015478944362,{}
18,3,0.004034984264215135,0.7052867749114262,0.06352152599092008,0.046656127078188336,{}
18,4,0.007230035293074097,0.6896883950152218,0.08502961421219138,0.05856379644527357,{}
18,5,0.003732241575787309,0.7660131416066079,0.06109207457426298,0.045874532852801145,{}
18,6,0.0043143561847687395,0.74503600567394,0.0656837589116879,0.04736732042044359,{}
18,7,0.004393605821193173,0.7015379180607473,0.06628428034755429,0.04828758961701042,{}
18,8,0.008215784052261619,0.7104102529109613,0.09064096233084476,0.05906038128035396,{}
18,9,0.008054831717294555,0.6111624052363156,0.08974871429326749,0.06310937132435106,{}
18,10,0.005282878505171866,0.7004026066779815,0.07268341286133904,0.052766155499071904,{}
19,1,0.0072769759728339885,0.6013540389233172,0.08530519311761733,0.059093358718332094,{}
19,2,0.0074462152638681825,0.6000522961683779,0.08629145533520792,0.05630121513493613,{}
19,3,0.006537934519979451,0.5765166567182873,0.0808574951379243,0.05644832125259756,{}
19,4,0.008106338266125104,0.714267995194062,0.09003520570379736,0.058498999490243946,{}
19,5,0.0055325521858169005,0.659905368416994,0.07438112788750181,0.05399398919662961,{}
19,6,0.006794036288622179,0.6960474094527118,0.08242594426891438,0.05818354336908498,{}
19,7,0.007660615411745668,0.7134103776617159,0.08752494165519717,0.062212563496752665,{}
19,8,0.005413050048994634,0.7380991178205691,0.07357343303798344,0.05350685760313906,{}
19,9,0.006232386859224433,0.7428409004744398,0.07894546762939866,0.05390524948193192,{}
19,10,0.005506365138753607,0.7488170032247401,0.07420488621885762,0.054863170418532635,{}
20,1,0.005774210962816162,0.6412129632871102,0.07598822910698842,0.052098955422146064,{}
20,2,0.007141720800679308,0.7047294287367221,0.08450870251447071,0.05780231952524371,{}
20,3,0.005461118766325723,0.6648390277119587,0.07389938271951751,0.05486036039497135,{}
20,4,0.007029225816187601,0.59606319676916,0.08384047838715855,0.053579787093932886,{}
20,5,0.0040637165152204975,0.7870201508193558,0.06374728633612961,0.04807550095453398,{}
20,6,0.007141720800679308,0.7047294287367221,0.08450870251447071,0.05780231952524371,{}
20,7,0.005092524180953791,0.5714836247867496,0.07136192388769932,0.05561241242804113,{}
20,8,0.004178422959585709,0.7063281806645691,0.0646407221462269,0.04878706511000578,{}
20,9,0.006585343655069646,0.5734458124067183,0.08115013034536449,0.0570500585928461,{}
20,10,0.006599885791026413,0.5125583039814163,0.08123968113567663,0.05388358777106215,{}
21,1,0.006903516217637339,0.7170952028000463,0.08308740107644082,0.05918583785371216,{}
21,2,0.005968592124547355,0.7180039641341951,0.07725666394912063,0.05442509051929927,{}
21,3,0.006491988120976177,0.6463510203425191,0.08057287459794504,0.06020742766669186,{}
21,4,0.006430254986067842,0.6309425497721922,0.08018887071201242,0.056298841688774026,{}
21,5,0.006533996199834954,0.7205706932365337,0.08083313800561595,0.05881321325171378,{}
21,6,0.00538804652382635,0.6843533678581792,0.07340331412018364,0.05064781293545663,{}
21,7,0.009043220546969346,0.5043061983804096,0.09509584926256953,0.061132771020372095,{}
21,8,0.005158318435354048,0.7286515505607734,0.07182143437271389,0.054646882208275016,{}
21,9,0.005756740934442462,0.6422984829800783,0.07587318982646282,0.05205682402141182,{}
21,10,0.006402989944371665,0.6402856693415389,0.08001868497027219,0.053648756783907466,{}
22,1,0.005524729750979568,0.7326956923568007,0.07432852582272548,0.05431531771473776,{}
22,2,0.006803161667953425,0.721207713386157,0.08248128071237391,0.05909391276008693,{}
22,3,0.0070305785058235384,0.6445306539306326,0.0838485450429734,0.0585933133435382,{}
22,4,0.008050425829419493,0.6109741492386978,0.08972416524782771,0.0569221009146221,{}
22,5,0.008069149326927073,0.6536737959081328,0.08982844386343934,0.06074112824588942,{}
22,6,0.007555566988909454,0.6759301125920186,0.08692276450337652,0.060790003128220645,{}
22,7,0.0041317427649044496,0.7653057378515353,0.06427863381330105,0.0492586356652146,{}
22,8,0.006540727411588928,0.5169275100131215,0.08087476374981832,0.05391932450095771,{}
22,9,0.006790682161232485,0.6560217895181925,0.08240559544856456,0.05528431910326389,{}
22,10,0.005068068642525183,0.7574897445625618,0.0711903690292808,0.053608955272328965,{}
23,1,0.006874826495029121,0.6195382035772523,0.08291457347794247,0.056316412868839844,{}
23,2,0.0061768170373920316,0.6560453660166652,0.0785927289091811,0.05742889082333565,{}
23,3,0.005643232202612188,0.6531016947648789,0.07512144968390977,0.05356897360613579,{}
23,4,0.007090061724494945,0.7068652452103148,0.08420250426498575,0.058633967216260234,{}
23,5,0.0064649512845221125,0.6770689661599532,0.08040492077306036,0.05662319095080047,{}
23,6,0.008275749494244939,0.5047707544848457,0.09097114649296742,0.05814140117701128,{}
23,7,0.006938988463261497,0.6491614894314419,0.08330059101387875,0.05824805583939645,{}
23,8,0.006880506970269208,0.6921788714325336,0.08294882139168228,0.05923951545571,{}
