PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},0.025640878650128665,0.01592029314438429,-0.08940614396486546,-0.6702518903389234,0.16012769482550065,0.12617564402207065,0.11553453446071009,0.09295790106537326
2,{},0.014926618814832966,0.007905737572415712,0.49393920020745163,0.17556209597778138,0.12217454241712128,0.08891421468143162,0.09089901844541315,0.06766031539063455
3,{},0.009783288224277615,0.004784528626089024,0.6231332299765711,0.36581910278544283,0.0989105061370005,0.06917028716211192,0.06918307941285337,0.05155869233779778
4,{},0.008183880796300096,0.0035771191443289396,0.820867834626879,0.5593908739159732,0.09046480418538524,0.05980902226528151,0.05689212891663601,0.04458308690460607
5,{},0.007125182519624891,0.003240772740122892,0.8038211850278799,0.5216035372157344,0.08441079622669656,0.0569277853084317,0.05722210388799417,0.04130008196893039
6,{},0.007951173792003777,0.003730439169741049,0.7513268435755835,0.5038330115148262,0.0891693545563933,0.06107732123907407,0.054142118392055294,0.045687433036540576
7,{},0.00720620090335176,0.00325861778814446,0.7775132812466925,0.6412934825910521,0.08488934505196609,0.057084304218799585,0.05435321988351152,0.04374387939370797
8,{},0.006401628659106161,0.003262176320639731,0.7895476679675257,0.490479170810561,0.08001017847190543,0.057115464811552843,0.05019264806628571,0.039423158406318416
9,{},0.007369902856694881,0.0036041450794114765,0.8124595714663431,0.6376142182915213,0.08584813834146249,0.06003453239104538,0.057587168418780726,0.042864536544233306
10,{},0.006446304944784707,0.0036435913558564093,0.7976326802363597,0.5668941300631859,0.0802888843164775,0.06036216825012509,0.053415584748596395,0.04301212608104856
11,{},0.007002098011431783,0.0030599828870072183,0.8133340084280527,0.6039896037467556,0.08367853973051742,0.05531711206315111,0.05790153357493736,0.0421487749256039
12,{},0.0068422851944284,0.0031051808556662457,0.7895277288226622,0.6047447283984793,0.08271810681119582,0.05572414966301636,0.054861530571540196,0.04264684217269907
13,{},0.008790608816714411,0.0034451937678373085,0.7927171939211936,0.5267254539887547,0.09375824665977074,0.05869577299803887,0.05418851396620853,0.0433874783334931
14,{},0.008786931856292297,0.003169693605903036,0.7849924763323173,0.5954059458029142,0.09373863587812817,0.05630003202399654,0.05765566328210311,0.04066291019048767
15,{},0.006690693871329485,0.0030684639870624513,0.7918591115263952,0.6186006336563195,0.0817966617370751,0.05539371793861152,0.04999879774332824,0.03955505811777406
16,{},0.006966209505418788,0.003439517881578379,0.7916756355844798,0.5887814570919092,0.08346382153615295,0.05864740302501364,0.05742370757368639,0.041644020267117075
17,{},0.008038939171498304,0.0035305434846339256,0.7677979348027522,0.49835630012903676,0.08966013144925844,0.05941837665767995,0.05544535311531602,0.04187949272454104
18,{},0.008222078750812442,0.00351551846287135,0.8114256094146238,0.4869280738170776,0.09067567893769775,0.059291807721399,0.0547657787324613,0.0439883406723811
19,{},0.006395118333990136,0.0034151042497183245,0.7845791558136989,0.6396698722895897,0.07996948376718545,0.058438893296488124,0.053168817643544704,0.03972130873068923
20,{},0.0107272762553954,0.0036895731966894735,0.7751955876379981,0.5080421017856018,0.10357256516759349,0.060741857040178426,0.06314952955484689,0.04280256008826064
