PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},8.40658478549149,4.349829711010029,0.4104587097660437,0.1002375095073802,2.899411110120724,2.0856245374012143,2.1034471158551122,1.5437003017412378
2,{},7.097038493294827,2.967248649537692,0.616293999601719,0.29352368059876377,2.664026744102774,1.7225703612734349,1.7826419015345938,1.2836605368905667
3,{},7.226148344260257,2.4096131718094713,0.7222294438799446,0.31139416490448146,2.68814961344421,1.5522928756550651,1.6853227330045557,1.0384719670052514
4,{},6.441099110613158,2.1596174496513956,0.7181999790807929,0.2510918540210445,2.537932053978821,1.4695636936354257,1.6482370226598906,1.1082891625464004
5,{},6.488271983772189,2.2141641243430663,0.6385330784032932,0.340805226555548,2.5472086651415484,1.4880067621966866,1.687171325625383,1.1373002288810976
6,{},6.228483203950146,2.099602052253611,0.7525092806535516,0.23709595128086391,2.495692930620702,1.4490003630964388,1.6150947504617208,1.1057916883478889
7,{},5.53683617719554,2.4305211170392647,0.6881865494219902,0.257180639523258,2.3530482734520217,1.5590128662199247,1.6011532378808513,1.1202840582457239
8,{},4.503368233529669,2.025645961680044,0.7573679217057175,0.49603589698954154,2.122114095313838,1.4232518967772514,1.5120126540468344,1.0527467304676759
9,{},6.117580525763485,2.6088032073762935,0.6774886659539605,0.37789593625119833,2.4733743197832965,1.6151790016516105,1.6047092070468671,1.218166002714946
10,{},5.756932854450582,2.7867884665340616,0.7598762786481683,0.3750794862478273,2.399360926257361,1.6693676846441174,1.685295733795559,1.1685645524343369
11,{},5.053873994591035,2.0050500460484058,0.7688556628014781,0.2402779834274522,2.2480822926643578,1.4159978976144016,1.4969832741124804,1.0902908093224635
12,{},5.966686875414254,2.507355726618551,0.7546483895022431,0.35231048861380654,2.4426802646712185,1.5834632065881895,1.7073040263293502,1.111202376736458
13,{},5.133815519889914,1.9682953743808815,0.7139756267963636,0.4827273693173395,2.2657924706137393,1.4029595056097954,1.6635633765249271,1.1400457893574178
14,{},4.677112832168093,2.0723735285260023,0.7610945389503059,0.27909217508074136,2.1626633654288625,1.4395740788601337,1.4140761028389763,1.1421629942441933
15,{},5.1809927098417115,2.5067741700040616,0.7200897372862147,0.4227239288133041,2.2761794107323157,1.5832795615443476,1.5351138583782906,1.1747038392253788
16,{},4.991511889804975,2.2454452600856243,0.7066923899673359,0.35074992784200554,2.234169172154377,1.498480984225567,1.4613321237027421,1.0969843579866534
17,{},4.817893055433065,2.3791306084192043,0.7377998366078621,0.5079267233719857,2.1949699440842156,1.5424430648873897,1.427467122757045,1.1312401783758441
18,{},4.81863626465556,2.628645944285137,0.693033577546382,0.492910719555794,2.195139235824361,1.6213099470135675,1.5764199316195058,1.191536545831163
19,{},4.974783934820389,2.3893897876173074,0.6356691478095969,0.2588173956369709,2.2304223669117893,1.545765113986374,1.5573920619117028,1.0947984017022494
20,{},4.837313370581021,2.529726474087213,0.742815308094033,0.2416505440650798,2.199389317647292,1.5905113876006085,1.4989980388212025,1.1340995312962379
21,{},5.8067713144316455,2.1549430808890913,0.7104399159396986,0.33147948702164187,2.4097243233265595,1.4679724387361948,1.8062996754993705,1.1573042930567006
22,{},4.069821134037556,1.9102463594427412,0.7323321190622749,0.33828124700751083,2.0173797694131754,1.3821166229529045,1.444789729588262,1.0494121233033977
23,{},4.1516745187472255,2.0928664050610277,0.7451925275545032,0.3156525979566486,2.037565831757891,1.4466742567216118,1.5028048711601778,1.17094366177456
24,{},5.48177385091888,2.667226042460205,0.7391855116973152,0.5143490179850223,2.3413188272678456,1.633164426033155,1.6346427852538288,1.1754602185103837
25,{},4.993921984223691,1.8466380492644916,0.7152888693028936,0.29427434534801455,2.2347084785769464,1.3589106112119707,1.6080044426327749,1.0446681438047765
