PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},0.02163213305038851,0.015066331398106219,0.1268734193656531,-0.4158032444990669,0.1470786627977985,0.12274498522589922,0.11483314838809838,0.0942616424313536
2,{},0.013089989332217706,0.010892660177800897,0.49379028037512995,0.057733970547558466,0.11441149125947842,0.1043679077964146,0.09062349415616454,0.08065021209377446
3,{},0.009456544785193139,0.00515095087868912,0.7374614068289765,0.3735180210529341,0.09724476739235453,0.07177012525200942,0.06806626381641664,0.05439455136254123
4,{},0.009202743148380692,0.005095071457670518,0.7121383396171902,0.5338401879894241,0.09593092904991952,0.07137976924640846,0.06829805494902934,0.05332664189874423
5,{},0.00906856261113305,0.00466261630707615,0.6805739394211178,0.37491263407048414,0.09522900089328382,0.06828335307434857,0.06769730274732463,0.052574267101617875
6,{},0.008320501513486636,0.003287564397819145,0.7458979432837218,0.5066738270564917,0.09121678306916242,0.05733728627881812,0.06150103071749376,0.04425432508060344
7,{},0.00882064806619473,0.004728130550083124,0.719292817244165,0.46165687402044076,0.09391830527748428,0.06876140305493426,0.0639297965767319,0.048836338339829886
8,{},0.008047635269028828,0.00439448204050209,0.7760178344153884,0.5821865965388962,0.08970861312621452,0.06629088957392328,0.06877994930035472,0.051207095475010705
9,{},0.01004718931613356,0.003587824258700413,0.7489095243689816,0.38444082919598666,0.10023566888155912,0.0598984495517239,0.0643883568645391,0.0462956251814466
10,{},0.009920105046306209,0.0041804753985610465,0.7743536757634198,0.41675340379008685,0.09959972412766116,0.06465659594009761,0.061784589283514005,0.04807386713802044
11,{},0.007847400272496629,0.004307028663252534,0.7591572468123979,0.6049328491830976,0.0885855534074074,0.0656279564153306,0.061986430288614634,0.0497785329575522
12,{},0.008862993500556878,0.004462718038511304,0.7202170994232856,0.554573445249025,0.09414347295780456,0.0668035780367437,0.06117711006767082,0.052090873844746345
13,{},0.009209900063806115,0.004015193497647174,0.7485145766358312,0.44887023670297665,0.09596822424014168,0.06336555450437702,0.06108212382420293,0.04818691556704361
14,{},0.009457601022921909,0.003938778735048852,0.7990643669254696,0.4815924060566452,0.09725019806109347,0.06275969036769423,0.0620090381091205,0.042814584977660594
15,{},0.0074748035548538915,0.003754817200392678,0.7440730703332274,0.5719739636918202,0.08645694624987567,0.06127656322275816,0.057025251969372054,0.045682277185007336
16,{},0.007554655334830266,0.003393569150646121,0.7935735404017272,0.5886986990617322,0.08691752029844309,0.05825434877025166,0.056665669590873075,0.0431574012965869
17,{},0.006454494756877378,0.004071907205162424,0.7924591372848895,0.5572628394229645,0.0803398702816813,0.06381149743707966,0.055864669518149467,0.04773997801490395
18,{},0.007668253071407383,0.004195906264637449,0.7520359990613417,0.6001889535328422,0.08756856211796207,0.06477581543012369,0.06211024455922961,0.0470322893655464
19,{},0.007076996804790256,0.004849923520609319,0.7460124565089203,0.5056143540659368,0.08412488814132388,0.06964139229373088,0.05911975712990581,0.047237775020476894
20,{},0.007050337475155894,0.004192326101758827,0.7648897831085172,0.5140269665394392,0.08396628772999253,0.06474817450522313,0.059577287522093986,0.048629281089190395
