PCA_components,Model,MSE,R2,RMSE,MAE,Best Params
1,1,15.790160164287963,-0.3956117569112161,3.9736834504383918,2.7670061123986383,{}
1,2,12.673035499579901,-0.4556221228972894,3.5599207153502594,2.610451286228531,{}
1,3,10.601633954610346,-0.23044440329066185,3.2560150421351475,2.4415893361995633,{}
1,4,10.547330195000447,-0.37618171235583087,3.247665345290436,2.4312334398447493,{}
1,5,13.775340895463982,-0.12463940013779595,3.7115146362993077,2.633071299165055,{}
1,6,12.176809367086909,-0.4590079230417703,3.489528530774166,2.4521866245321093,{}
1,7,12.158440448306642,-0.35313724215005116,3.486895531602093,2.54115833724567,{}
1,8,11.720147738619222,-0.5246498692857724,3.4234701311124685,2.4514561252777565,{}
1,9,13.055395412954221,-0.4064682810140172,3.6132250708963896,2.5824747227194296,{}
1,10,10.421994711911093,-0.7023512559623197,3.2283114335378325,2.444732955891801,{}
2,1,6.242048511939901,0.2763211032221171,2.49840919625667,1.675143736945433,{}
2,2,5.309573230957228,0.4733997458478807,2.3042511215050387,1.6463684992456948,{}
2,3,5.916255408940485,0.2451281655251516,2.432335381673441,1.725592546304666,{}
2,4,4.759304791390885,0.3499830993259707,2.1815830929375313,1.5671887197071606,{}
2,5,5.976608854298004,0.21514967376837768,2.4447103824989176,1.7686847800102494,{}
2,6,7.502684546965499,0.16972808768400371,2.7391028726510984,1.9315106585705197,{}
2,7,7.098336651669827,0.24635437310008546,2.664270378859816,1.7386433815112108,{}
2,8,6.424773573287595,0.07135322659949539,2.534713706375455,1.6236935157278916,{}
2,9,6.2748707260163625,0.1812750543607773,2.5049692066004248,1.787235410782754,{}
2,10,5.861978815101207,0.29581965141882416,2.421152373375374,1.6215392539882247,{}
3,1,4.120270926689346,0.6187365657244126,2.029845049921138,1.3102755512889348,{}
3,2,3.216622212022239,0.535064418322477,1.7934944137136974,1.2464136900027005,{}
3,3,4.058660161966253,0.5564095212498158,2.0146116653008472,1.458190957688724,{}
3,4,2.652615946057767,0.7023508287871862,1.6286853428633068,1.1701553692940516,{}
3,5,3.216622212022239,0.535064418322477,1.7934944137136974,1.2464136900027005,{}
3,6,3.6509045121534496,0.7334633105066258,1.9107340244402018,1.3505252646028525,{}
3,7,3.282953430050148,0.571650797934399,1.8118922236298018,1.3155056780859267,{}
3,8,2.925717430556252,0.7343305203533561,1.7104728675299856,1.2257492849702574,{}
3,9,3.9396231669585995,0.5474957331340454,1.9848483989863306,1.4783308008155627,{}
3,10,2.527034226223379,0.6775685242987857,1.5896648156839162,1.1260948405171178,{}
4,1,2.7960366391115237,0.7128021291140648,1.6721353531073744,1.0885321987107215,{}
4,2,2.488691705619427,0.723028504731247,1.5775587804007263,1.1026472728452525,{}
4,3,2.22812369505188,0.6779435327106249,1.492690086740004,1.0530173741868627,{}
4,4,2.160077323121778,0.8058985145625827,1.4697201512947211,1.014768148158765,{}
4,5,2.206114503608201,0.7573916942509598,1.485299465969136,1.0845022589854227,{}
4,6,2.73057190099206,0.7134638504224237,1.652444220236211,1.1265700410785897,{}
4,7,2.8270910096467414,0.6922350841422149,1.6813955541890615,1.1667416313632069,{}
4,8,2.9359084089633645,0.6791204573117499,1.7134492723636041,1.2162337642152299,{}
4,9,2.844502696815357,0.7178839469911019,1.6865653550382673,1.1140101884365914,{}
4,10,2.426458298558064,0.6755958603885337,1.5577093113151965,1.1077388104026775,{}
5,1,2.9623338134582915,0.7174736580588692,1.721143170528905,1.175277967926814,{}
5,2,2.7600928030263185,0.6983361900159102,1.6613527027775645,1.1690274177068736,{}
5,3,2.2275852642453198,0.7793071691610046,1.4925097199835315,1.0533897255099,{}
5,4,1.842524523756284,0.7435162089549754,1.3573962294614952,0.9100255533601974,{}
5,5,2.989199560369016,0.6499219223331938,1.7289301779912964,1.196188622719831,{}
5,6,1.842524523756284,0.7435162089549754,1.3573962294614952,0.9100255533601974,{}
5,7,2.354868461043053,0.6420223344605747,1.5345580670157297,1.1085166495066863,{}
5,8,1.7451765747348889,0.7974517175059894,1.321051314194452,0.8789540357401734,{}
5,9,2.696911850520061,0.7325219176506792,1.6422277097041267,1.0686506784970398,{}
5,10,2.4245191387198792,0.8101927382801352,1.5570867473329413,1.0382658604508315,{}
6,1,1.8891520050079937,0.7723726613489652,1.3744642610879316,0.9839767904104193,{}
6,2,2.3177226538086644,0.775618771031966,1.5224068621129716,1.0151885269624055,{}
6,3,2.7454734215748977,0.75922720138825,1.6569470183367052,1.1205690860893196,{}
6,4,2.0622388546346095,0.791777829989672,1.43604973961023,0.9667530249804336,{}
6,5,1.7812477541631249,0.7989658307707859,1.3346339401360678,0.9537567721812665,{}
6,6,3.1839583350725373,0.739049577692138,1.784364966892294,1.1094193316472547,{}
6,7,2.8929346070173105,0.5878072757504667,1.7008629007116682,1.0813823204874362,{}
6,8,2.459566314212859,0.7551645714560962,1.5683004540625687,1.0138610859456778,{}
6,9,2.735948695066275,0.718974126059424,1.6540703416319014,1.0425968812923656,{}
6,10,2.4852251275073582,0.7837176579492381,1.5764596815356104,1.0669874062413192,{}
7,1,1.8765213646731764,0.8049930062298765,1.3698618049544913,0.9491667873026264,{}
7,2,2.722436601987022,0.7036280512796842,1.6499807883690714,1.173019278513734,{}
7,3,1.8016265423229618,0.7057184069002329,1.342246826154922,0.9021478944002429,{}
7,4,2.1293448915265585,0.7229979106976024,1.4592274982080615,0.9771371703944222,{}
7,5,2.945784172513285,0.746380353594206,1.7163286901154118,1.024710508866471,{}
7,6,2.2925358051641216,0.7899024365388551,1.5141122168333896,1.0647329643402275,{}
7,7,1.877312934893021,0.7967330544688456,1.3701506978770697,0.939452180185955,{}
7,8,2.8037209153954694,0.6653525099148224,1.6744315200674733,1.0848343351442826,{}
7,9,2.508630686562228,0.7511455852480227,1.5838657413310726,1.1195613054555278,{}
7,10,1.8765213646731764,0.8049930062298765,1.3698618049544913,0.9491667873026264,{}
8,1,1.8966162918942302,0.7551547016877914,1.377176928319027,0.9313094913106981,{}
8,2,2.9175387458291797,0.6797959581591355,1.708080427213303,1.0960178449016835,{}
8,3,1.8215753354590807,0.8358792552010383,1.349657488201759,0.925542168157419,{}
8,4,2.4204129272434702,0.6821505435818918,1.5557676327920793,1.0059155781487839,{}
8,5,3.0597986970833535,0.749225436342666,1.7492280288982776,1.0925947087656729,{}
8,6,2.7219654323108027,0.7170793771943849,1.6498380018386056,1.086713258966085,{}
8,7,1.675496510842041,0.7826769252617124,1.2944097152146383,0.9298168849011025,{}
8,8,2.4064047779361277,0.7604564911905438,1.551259094392722,1.0193291746933486,{}
8,9,2.091566364995598,0.7279124413692118,1.446224866677239,0.9640131824286673,{}
8,10,2.3159585071332316,0.7649470345706397,1.5218273578606845,1.0834884085717824,{}
9,1,1.8337575013011709,0.7857558439023193,1.3541630261165643,0.9693833938915407,{}
9,2,2.5609129643390065,0.6635518040128331,1.6002852759239543,1.0593925832471474,{}
9,3,2.50280514308019,0.7465291636595873,1.5820256455191204,1.0085561789746436,{}
9,4,2.2014394390260024,0.7105822568933946,1.48372485287064,1.0088538041173538,{}
9,5,3.3882031377050867,0.5309691035879724,1.84070723845621,1.0641139186298654,{}
9,6,2.7565384521996688,0.729563119630793,1.6602826422629577,1.0930661515780131,{}
9,7,2.6664341851384545,0.7008002886812581,1.6329219776641057,1.046919753538588,{}
9,8,2.10699492638287,0.7895821303898309,1.4515491470780002,0.9963733466772982,{}
9,9,1.727944705136031,0.7281435569203332,1.3145131057300383,0.9224614536473836,{}
9,10,1.9435942579537777,0.7862612710199235,1.3941284940613536,1.005013991879194,{}
10,1,2.0206111476583772,0.7959809374326656,1.4214820250915512,0.9854716635115826,{}
10,2,2.7516318188064446,0.7112539002801983,1.6588043340932181,1.1147034007962948,{}
10,3,2.6250862902233445,0.7303614756337491,1.6202118041241844,1.021578053667409,{}
10,4,3.006157815879817,0.6329030792352037,1.7338275046497034,1.1207552889554906,{}
10,5,1.876054658761323,0.7808141224375396,1.3696914465533188,0.9605098265902822,{}
10,6,2.18033652395245,0.763751253702791,1.476596263015876,1.0421420861781743,{}
10,7,2.4950206073735215,0.6664294564926696,1.5795634230297693,1.1430788137873245,{}
10,8,2.4515128746254025,0.8127078972723116,1.5657307797400555,1.0461737422948474,{}
10,9,2.190402009213923,0.7169483441090793,1.480000678788332,1.008122113918318,{}
10,10,1.7229218410399054,0.8055485767486303,1.3126011736395429,0.936724606323319,{}
11,1,3.997282371167259,0.5144557833128697,1.999320477354058,1.1839008745822206,{}
11,2,3.127174341746952,0.7342340124495387,1.7683818427440812,1.1411780669229092,{}
11,3,2.556667417641106,0.7912698543907146,1.5989582288606248,1.0925512734071932,{}
11,4,2.914820614739913,0.6440567203090741,1.7072845734498725,1.0966583392701899,{}
11,5,2.6262864827840646,0.6549631472906198,1.6205821431769711,1.077195496289279,{}
11,6,1.835587608469466,0.7855420262271025,1.3548385912976741,0.9517005521949905,{}
11,7,3.3700577153360487,0.688156482639755,1.8357716947747202,1.1835325500119822,{}
11,8,2.851086331403062,0.6279994276196637,1.6885160145533302,1.1425838376446389,{}
11,9,1.5426574287681427,0.8209564480768484,1.2420376116560008,0.8510438588469552,{}
11,10,2.6870659542540505,0.7050906760106819,1.6392272430185055,1.0781965146363226,{}
