Components,alpha,l1_ratio,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,split5_test_MSE,split6_test_MSE,split7_test_MSE,split8_test_MSE,split9_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_Max Error,split1_test_Max Error,split2_test_Max Error,split3_test_Max Error,split4_test_Max Error,split5_test_Max Error,split6_test_Max Error,split7_test_Max Error,split8_test_Max Error,split9_test_Max Error,mean_test_Max Error,std_test_Max Error,rank_test_Max Error
2,0.1,0.1,0.008267450332641601,0.007473019147094889,0.0015635967254638671,0.004690790176391601,0.1,0.1,"{'alpha': 0.1, 'l1_ratio': 0.1}",-8.421997477518856,-9.993579971380209,-10.620029468223393,-7.689556562792619,-12.35565740320868,-8.19924629659154,-10.76923369157086,-6.1528100475784955,-10.809824410033592,-7.4028329022878765,-9.241476823118614,1.845119608845957,1,0.22118551189912194,0.1934121130025006,0.1672283839354386,0.19207823896045406,0.1584764947426881,0.17193602336017044,0.1601569057892015,0.18552351365102193,0.16312766791918176,0.20392997259142598,0.18170548258512048,0.01991458826383857,1,-11.992031222277992,-16.731489960323426,-12.333948229046872,-14.743277426926479,-16.857188062857325,-11.660935952030922,-13.96235153347564,-7.399767135763934,-16.812224691253224,-12.941898233127322,-13.543511244708313,2.810067056047129,1
2,0.1,0.1,0.005025839805603028,0.007935349769323691,0.004400134086608887,0.006146011026760089,0.1,0.2,"{'alpha': 0.1, 'l1_ratio': 0.2}",-8.628130542455274,-10.179706191302492,-10.736200195209861,-7.794746871730888,-12.513570694094296,-8.34383240234573,-10.905791491333947,-6.210520497258201,-10.950976705343354,-7.503556104986909,-9.376703169606095,1.865813321620628,2,0.20212359483281372,0.1783897531602936,0.158118834443002,0.18102616606812116,0.14772128020928155,0.1573338829478922,0.14950738992054557,0.1778841092297454,0.152199974177478,0.19309861602946476,0.1697403601018638,0.01831295364523765,2,-12.146799095041128,-16.891919398065614,-12.38219424958304,-14.92228154004722,-17.007862982170135,-11.724636115599472,-13.989522360711899,-7.48073655275291,-16.931696853597934,-12.983338110461442,-13.64609872580308,2.834904989695024,2
2,0.1,0.1,0.003129863739013672,0.006259727478027345,0.003129863739013672,0.006259727478027345,0.1,0.30000000000000004,"{'alpha': 0.1, 'l1_ratio': 0.30000000000000004}",-8.849703926493513,-10.35078704996166,-10.847985659205195,-7.901202857577468,-12.691944919710336,-8.484865326916514,-11.024027235831356,-6.256897306366825,-11.099368608710694,-7.623241434700591,-9.513002432547415,1.8883283116566774,3,0.18163385209338012,0.16458171353017104,0.14935315617605704,0.16984111178624806,0.1355725050620371,0.1430905878774934,0.14028672702577105,0.17174499226712503,0.1407118062366861,0.18022815076796617,0.1577044602822935,0.016843172498205206,3,-12.279073575556712,-17.028330498061024,-12.468810021075193,-15.088233916456751,-17.135824665427982,-11.820421210552762,-14.003807886235602,-7.573551809510998,-17.04623256516836,-13.088703810281295,-13.753298995832669,2.8468536980496264,3
2,0.1,0.1,0.0046863555908203125,0.007158526409471193,0.0037847518920898437,0.005897312222263231,0.1,0.4,"{'alpha': 0.1, 'l1_ratio': 0.4}",-9.082250321947082,-10.540204317358828,-10.95984635748402,-8.01571579937285,-12.891947405075733,-8.624014859680091,-11.130546685808989,-6.312103323049846,-11.263104174726372,-7.750289741468942,-9.657002298597277,1.9133306242133874,4,0.16012939279873883,0.14929373125472412,0.1405815783985661,0.15780953404289577,0.12195066471373195,0.12903750162056726,0.1319797641512569,0.16443711145403117,0.12803576638825642,0.16656590141204242,0.1449820946234811,0.015865725451420835,4,-12.404005518204723,-17.169923914714936,-12.561661503659145,-15.235541282979565,-17.263034524544558,-11.89254673819471,-14.011904791101383,-7.681807728698291,-17.169897328332155,-13.213198986006208,-13.860352231643569,2.857826703615467,4
2,0.1,0.1,0.0014035701751708984,0.0016010381591743785,0.0014340877532958984,0.003288547672506282,0.1,0.5,"{'alpha': 0.1, 'l1_ratio': 0.5}",-9.24644603433273,-10.691121924381221,-11.071547298526582,-8.135275974015022,-13.05964569857311,-8.759484779395255,-11.220221489599998,-6.376506882680982,-11.413694918509112,-7.868221550651809,-9.784216655066583,1.9304725646355285,5,0.14494558396581803,0.13711307986578058,0.13182252801492267,0.14524765663705252,0.11052900974513968,0.1153560294002427,0.1249864378993123,0.15591170849975367,0.11637736916005803,0.15388400249473289,0.1336173405682813,0.015572626379607286,5,-12.500603050082002,-17.300906278144193,-12.63869482670456,-15.375507261154649,-17.380590339842488,-12.105763437608866,-13.995877423697033,-7.776003815376187,-17.29776239126776,-13.313049509052096,-13.968475833292985,2.8632361797140664,5
2,0.1,0.1,0.004353618621826172,0.006650262293829252,0.0014512062072753907,0.004353618621826171,0.1,0.6,"{'alpha': 0.1, 'l1_ratio': 0.6}",-9.389905591655973,-10.804910559107466,-11.183089594957908,-8.240810768971413,-13.188282988426868,-8.89654781492376,-11.303898049495498,-6.437682474894987,-11.564072052002336,-7.988570629520856,-9.899777052395704,1.9411151035352363,6,0.13167932711901642,0.12792913029905728,0.12307591777842519,0.1341593894924059,0.10176773549384621,0.10151366412122409,0.1184608871509284,0.14781360681751643,0.10473550916080654,0.14094216039476193,0.12320773278279881,0.015582157464734743,6,-12.683639128642238,-17.39986941075881,-12.70154727118156,-15.474349416302616,-17.478415372488826,-12.393985770177226,-13.95685145437586,-7.861271098772702,-17.423916547509627,-13.383065134320065,-14.075691060452954,2.855917277520002,7
2,0.1,0.1,0.006647706031799316,0.005079818607584545,0.004076957702636719,0.0036734958933961294,0.1,0.7000000000000001,"{'alpha': 0.1, 'l1_ratio': 0.7000000000000001}",-9.552135808515546,-10.918675116749988,-11.291981844213053,-8.331818407332491,-13.315320924412866,-9.026465478528374,-11.414890989536408,-6.503376023369525,-11.69614605319981,-8.089313579155261,-10.014012422501333,1.954218048513213,8,0.11667727521443605,0.1187471240083312,0.1145371114916397,0.12459745300721159,0.09311539060414187,0.0883929292062462,0.10980505732410673,0.13911744195567488,0.09451063656372882,0.13010868032905687,0.11296090997045738,0.01584675895829582,8,-12.878591069153066,-17.478933592297835,-12.727686646145868,-15.54724203424708,-17.558833242465724,-12.593158771578974,-13.933666491080304,-7.923692056277957,-17.50281442417198,-13.398028893508222,-14.1542647220927,2.851978134947084,8
2,0.1,0.1,0.003100275993347168,0.0007004969310150056,0.0015003681182861328,0.0004995884484875257,0.1,0.8,"{'alpha': 0.1, 'l1_ratio': 0.8}",-9.609678878461521,-10.99028933414644,-11.37537989341177,-8.396540866160167,-13.37595223317428,-9.156609380982461,-11.48338554101206,-6.583118599241107,-11.767781228594677,-8.171885039724394,-10.091062099490888,1.948429590616869,9,0.11135604629180162,0.11296709718569042,0.10799743771618964,0.11779723215079907,0.08898589188042416,0.07524934582025167,0.10446348171200748,0.1285615410736276,0.0889648021433217,0.12122928702840285,0.10575721630025163,0.015774658350465515,9,-12.959606796737162,-17.528265650992314,-12.776849179698772,-15.595609928909223,-17.594310792096884,-12.813701422315651,-13.916383774714728,-7.9522609412346235,-17.54103343460312,-13.40503797357877,-14.208305989488125,2.8450069072455073,10
2,0.1,0.1,0.0032024145126342773,0.0008729745383399936,0.002229475975036621,0.0003957680973087363,0.1,0.9,"{'alpha': 0.1, 'l1_ratio': 0.9}",-9.590500382558833,-11.037619740821446,-11.425210941649999,-8.42772998465457,-13.410104639115787,-9.173382704860117,-11.53542316895179,-6.617866247147422,-11.808899424260757,-8.223741449877897,-10.125047868389862,1.9526112924733974,11,0.1131295555464491,0.1091470314214642,0.1040899266593035,0.11452027237639595,0.08665982767979308,0.07355536264555751,0.10040530601297892,0.12396183102947234,0.08578152376683967,0.11565286319213741,0.10269035003303917,0.015198780358067095,10,-12.942472877921944,-17.560024992500367,-12.809582140976982,-15.612966202596361,-17.613562571617898,-12.83665447530586,-13.907800456079842,-7.9476133267895746,-17.560195844689982,-13.40101327482803,-14.219188616330683,2.8533371993496552,11
2,0.1,0.1,0.003946638107299805,0.00028530654313763804,0.0024321794509887694,0.00048101765863214246,0.1,1.0,"{'alpha': 0.1, 'l1_ratio': 1.0}",-9.569511151910284,-11.014785467385524,-11.402014903558522,-8.466180075960489,-13.387685425832052,-9.167463817759256,-11.525341924393125,-6.669090850816178,-11.792252438953984,-8.224191106939372,-10.121851716350879,1.932400060798051,10,0.11507051040505778,0.11098999944839238,0.10590884836620962,0.11048042102393674,0.08818676342525478,0.07415312700251553,0.1011914959932626,0.11718098863581394,0.08707029598804839,0.11560450893181862,0.10258369592203102,0.013931247681338733,11,-12.923168987076453,-17.541624170783336,-12.792170685094607,-15.634398931436422,-17.595072082215225,-12.811429286742225,-13.890066550767084,-7.949447802133719,-17.539571306533254,-13.382897053067897,-14.205984685585022,2.850901144757363,9
