Components,alpha,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,split5_test_MSE,split6_test_MSE,split7_test_MSE,split8_test_MSE,split9_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,split5_test_R2,split6_test_R2,split7_test_R2,split8_test_R2,split9_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_Max Error,split1_test_Max Error,split2_test_Max Error,split3_test_Max Error,split4_test_Max Error,split5_test_Max Error,split6_test_Max Error,split7_test_Max Error,split8_test_Max Error,split9_test_Max Error,mean_test_Max Error,std_test_Max Error,rank_test_Max Error
2,0.1,0.0005198001861572265,0.0015594005584716798,0.0015594005584716798,0.0023820236993176277,0.1,{'alpha': 0.1},-9.478726241972923,-10.969893409991533,-11.333057437291298,-8.330419883962087,-13.3382398748804,-9.148750745928009,-11.528734716944632,-6.7228492276260825,-11.785904542967344,-8.247277033857596,-10.088385311542192,1.9210817376330502,1,0.12346574008173294,0.11461326456660692,0.11131616110436149,0.12474439222991507,0.0915544185809738,0.07604301054975926,0.1009269076784316,0.11006473874066447,0.08756173584096716,0.1131219438493537,0.10534123132227664,0.01514450568993963,1,-12.679006910015877,-17.289026857624478,-12.659673184045213,-15.31586749985468,-17.468075274946212,-12.490125869410376,-14.000449771057047,-7.756188860647508,-17.286158370651293,-13.500273506366677,-14.044484610461936,2.835699596458988,1
2,0.1,0.0,0.0,0.0,0.0,0.2,{'alpha': 0.2},-9.98926738580525,-11.489274486450597,-11.8716819301283,-8.707286725089617,-13.839430838987306,-9.365806898939933,-11.981476149542743,-6.869782739141577,-12.108318469666665,-8.524907136116724,-10.474723275986872,2.015628345475923,2,0.07625403755515492,0.07269370358772531,0.06907981979344957,0.08514797084009873,0.05741912628895818,0.054121924791924014,0.06561968187941891,0.09061445679458746,0.06260117362482698,0.08326675111002213,0.07168186462661662,0.011548480761066852,2,-13.265327819524572,-17.77687872644406,-13.079746887680642,-15.839394200352746,-17.83934284159653,-13.117787043161194,-14.290752940290332,-8.175454081269379,-17.72471597787488,-13.830986961132167,-14.494038747932649,2.828866384416768,2
2,0.1,0.0008516550064086914,0.0025549650192260745,0.0008516550064086914,0.0025549650192260745,0.30000000000000004,{'alpha': 0.30000000000000004},-10.41695409144924,-11.953395649274887,-12.371861234543255,-9.071677049628704,-14.300983321186566,-9.580166168516662,-12.375964315586264,-7.130773912385554,-12.474304789048146,-8.857018062918547,-10.853309859453782,2.0779006707313457,3,0.036704203491110254,0.03523420367824859,0.02985816519201745,0.04686242468365365,0.0259835458090667,0.03247320455905278,0.03485536089910146,0.05606582420101147,0.0342673346101835,0.04755291586728616,0.0379857182990732,0.008778115482923243,3,-13.486779615288103,-18.060064555980883,-13.320932796451117,-16.14649350175691,-18.11740102432295,-13.384231591305749,-14.473961941700074,-8.506255337051488,-18.03366531141568,-14.020061340529736,-14.75498470158027,2.830635221285725,3
2,0.1,0.0,0.0,0.0,0.0,0.4,{'alpha': 0.4},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.885153679708907,-12.823352289143473,-7.491876294535393,-12.921352102806647,-9.274095102261573,-11.271099072780451,2.100904312530192,4,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,0.0016716940045619078,-3.4373206963644876e-05,0.008264998699922588,-0.00034206456454177747,0.002702176356648933,-5.1665460628780305e-05,0.0035470508541876893,4,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.603603341799204,-14.640343930202363,-8.730216293854578,-18.300611683409116,-14.165918105532327,-14.965957081235734,2.8440438029643387,4
2,0.1,0.0008749246597290039,0.002624773979187012,0.002624773979187012,0.004009408480591642,0.5,{'alpha': 0.5},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
2,0.1,0.0,0.0,0.0,0.0,0.6,{'alpha': 0.6},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
2,0.1,0.0008756637573242188,0.0017513275146484376,0.0008756637573242188,0.0017513275146484376,0.7000000000000001,{'alpha': 0.7000000000000001},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
2,0.1,0.00025742053985595704,0.0007722616195678711,0.0005148410797119141,0.0010296821594238282,0.8,{'alpha': 0.8},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
2,0.1,0.0003666400909423828,0.0010999202728271486,0.0003666400909423828,0.0010999202728271486,0.9,{'alpha': 0.9},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
2,0.1,0.0003666400909423828,0.0010999202728271486,0.0003666400909423828,0.0010999202728271486,1.0,{'alpha': 1.0},-10.86363880479348,-12.392428476733837,-12.79387835822137,-9.526162430306922,-14.739053189292905,-9.981000532336248,-12.823352289143473,-7.559417300011443,-12.921352102806647,-9.301607683128744,-11.290189116677507,2.0799707418168922,5,-0.004602449389551788,-0.00020040150195543838,-0.003234387248059134,-0.000889175311199919,-0.0038526724451495298,-0.008008137904866208,-3.4373206963644876e-05,-0.0006757227589271331,-0.00034206456454177747,-0.0002564127799831173,-0.002209579711119769,0.0025152746543711225,5,-13.671919594000542,-18.277320512062154,-13.50281842980756,-16.43188817037761,-18.334930751311852,-13.660204019578519,-14.640343930202363,-8.765625010341422,-18.300611683409116,-14.174356919671961,-14.97600190207631,2.8333734129003667,5
