Components,Mean_MSE,Std_MSE,Mean_R2,Std_R2,Mean_Max_Error,Std_Max_Error
2,8.797213283595658,1.2222172438841565,0.07299533021195267,0.02275195228602894,12.130617380788795,1.176687382868395
4,9.103324033851184,1.9350050477189624,0.20452439658976976,0.024376563620716742,12.774833111890416,2.3543216714995987
6,8.51900059288165,1.0502794871569066,0.20706510842937295,0.046809638086328986,12.379188789801026,1.934985468563237
8,8.42295644799935,1.4334419611134155,0.186806486888709,0.047477213350034575,13.190346149806214,2.6214354241115636
10,8.983627482081,1.4141607188733138,0.1690208176381349,0.05685095919164403,13.425370168098784,1.9712324905248129
12,7.823058102524135,1.1744542436147571,0.20496750575404224,0.026431468066035246,12.667259106511882,2.866626030962735
14,8.975144304553636,1.801394097208448,0.19450643175685797,0.02310128005724478,13.13532278848437,2.6358208614111156
16,9.162895605984373,1.3728450435112909,0.16717826268545663,0.04122689094402362,14.008409527788231,2.6953221860229357
18,8.11109094598557,1.4832091715533864,0.1935541021596638,0.04064671207323139,12.127934338348092,2.9082117604761386
20,8.660262700186086,1.1290591641810828,0.204459788784794,0.03050675204656695,12.546612699248813,1.4866404156491353
