Components,depth,iterations,l2_leaf_reg,learning_rate,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
5,8,150,0.2,0.05,0.07584829330444336,0.04286180888955085,0.0009720563888549804,0.0010297156585441526,4,100,0.2,0.01,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 0.2, 'learning_rate': 0.01}",0.5120400941605001,0.5796558626506334,0.5363419428459679,0.5167194594809439,0.5565001637322784,0.43992292774466013,0.5281282715751616,0.483825260908585,0.5687267879990845,0.5638984196934237,0.5285759190791238,0.040724919069306274,79
5,8,150,0.2,0.05,0.06227269172668457,0.001826410591887077,0.0005503654479980469,0.0007902952978059841,4,100,0.2,0.05,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 0.2, 'learning_rate': 0.05}",0.6757258675765663,0.7877364977592849,0.7102355763975515,0.6706963419679469,0.7811762788415766,0.6635750180295691,0.7428771775216041,0.6643054488463644,0.7461272026056874,0.7807191449758264,0.7223174554521978,0.04893049135443215,53
5,8,150,0.2,0.05,0.0660789966583252,0.007846256490058571,0.0007926702499389648,0.0007756854949746186,4,100,0.2,0.1,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 0.2, 'learning_rate': 0.1}",0.6718576400403504,0.7986503261930504,0.7339514834895102,0.6930735473134408,0.8094545735074954,0.7085349508196149,0.7644308036229597,0.6603121684510268,0.7623114559796949,0.8045737206003982,0.7407150670017542,0.05267387731386277,34
5,8,150,0.2,0.05,0.06405436992645264,0.003929035678543178,0.0013567209243774414,0.0020032869735793217,4,100,0.6,0.01,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 0.6, 'learning_rate': 0.01}",0.5112789392547007,0.5759574651207227,0.530017207701658,0.5161983020692377,0.552991898406486,0.44358351761080417,0.5255986375485158,0.4825714519907385,0.5667772108404782,0.5575116860301343,0.5262486316573476,0.03858374958085889,80
5,8,150,0.2,0.05,0.06482193470001221,0.005770339506452051,0.0009294509887695313,0.002121773961377839,4,100,0.6,0.05,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 0.6, 'learning_rate': 0.05}",0.6747886247019794,0.7807585475182344,0.7151740611018665,0.6785789879929165,0.7810275965681366,0.6696584476936043,0.7397993194479071,0.6654394430433832,0.7390578902294473,0.775934364426004,0.722021728272348,0.04533558071094643,54
5,8,150,0.2,0.05,0.06374979019165039,0.0014041024762452188,9.999275207519531e-05,0.0002999782562255859,4,100,0.6,0.1,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 0.6, 'learning_rate': 0.1}",0.6785973684259432,0.8044141929957491,0.7201138707567869,0.6872995114813528,0.8053881198404196,0.6963665738073697,0.7649934879610868,0.6522301749907151,0.7423202947199565,0.8023684429795819,0.7354092037958961,0.05411508303559901,41
5,8,150,0.2,0.05,0.06371190547943115,0.0021264525949570134,0.0009430646896362305,0.0015433653921043272,4,100,1,0.01,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.5068573061329844,0.5699859545965003,0.5267877681663162,0.5076559443480125,0.5523254045016572,0.4382508896419086,0.5200581085562039,0.47688904937630416,0.5617317986372937,0.5516273761744986,0.521216960013168,0.03896563338493689,81
5,8,150,0.2,0.05,0.0636296272277832,0.002142239818429162,0.0006618499755859375,0.0007129078555989718,4,100,1,0.05,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.6760198474525602,0.7881074373016019,0.7224902125922879,0.6805029115684851,0.7752594089073427,0.6663960008586509,0.7449113309426387,0.6650097709587273,0.7413703669107087,0.7714238525413805,0.7231491140034383,0.045511014804461146,52
5,8,150,0.2,0.05,0.06444857120513917,0.001482707084428321,0.00030877590179443357,0.0004719400766259023,4,100,1,0.1,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.668824324510692,0.7872530805366331,0.7216149291216014,0.7045545107882389,0.7966552546405518,0.6962060324270147,0.7578722632191393,0.67501248747489,0.740180690530553,0.7872968749689826,0.7335470448218298,0.045149051722882576,49
5,8,150,0.2,0.05,0.08886785507202148,0.00416473437243958,0.0004828453063964844,0.0008421303440631572,4,150,0.2,0.01,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 0.2, 'learning_rate': 0.01}",0.5857225501394905,0.6713255395174975,0.6173640996404353,0.58624888840132,0.6443142557403994,0.5277250329466543,0.61880233796259,0.5639113400344462,0.6475665925723417,0.6605357354133949,0.612351637236857,0.04361955200427317,70
5,8,150,0.2,0.05,0.08758630752563476,0.003414297139509935,0.00020420551300048828,0.00040841481521037816,4,150,0.2,0.05,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 0.2, 'learning_rate': 0.05}",0.6765808233578581,0.7988499423236152,0.7266728159143176,0.6807788120839368,0.7973274156404419,0.6845729265531603,0.7625923777961128,0.661125728892652,0.7506430984610508,0.7995395133891103,0.7338683454412255,0.052480936697601656,48
5,8,150,0.2,0.05,0.08721437454223632,0.0029066641843729104,0.001139998435974121,0.0019141875928532974,4,150,0.2,0.1,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 0.2, 'learning_rate': 0.1}",0.6726354419448308,0.80366418754007,0.7294031657549681,0.6888948156324703,0.8143259711920469,0.7091827402347879,0.7750590174848833,0.6373666936652573,0.7638966086109669,0.8088549914764749,0.7403283633536756,0.05904482070516952,35
5,8,150,0.2,0.05,0.08667025566101075,0.0026201330791778264,0.0010694026947021484,0.0020018023075287408,4,150,0.6,0.01,"{'depth': 4, 'iterations': 150, 'l2_leaf_reg': 0.6, 'learning_rate': 0.01}",0.5878194481037141,0.666874690532788,0.6142552045763139,0.5839278496085759,0.641669155817638,0.5272852981398033,0.6171259112499301,0.5622105725627862,0.6454926868095814,0.6548436371207356,0.6101504454521866,0.04227799981837319,71
