Components,Mean_MSE,Std_MSE,Mean_R2,Std_R2,Mean_Max_Error,Std_Max_Error
2,9.210460409709746,1.42739843790092,0.0993177500039773,0.01746669335549546,13.08420111808051,2.232113162771187
4,9.44483170658855,1.652936295016216,0.15554385833302248,0.026464955057485404,13.273339523513462,2.87875054629979
6,8.864892421806065,2.158279592096445,0.16824728044163556,0.023000638669215655,12.568350689826973,3.080999721234595
8,8.021023160479078,1.51242746643507,0.15640394377185388,0.01903117353097087,11.81950536515177,2.5716159942128254
10,9.00122545379064,1.5836547098353169,0.1763632702834181,0.021712906819674863,13.241550857524516,2.755671961775494
12,8.270615626524938,1.7102832754439077,0.1734529225977018,0.02763418026692136,13.096408411912403,2.124620477493189
14,9.302809174970346,1.661549380888196,0.162803125756535,0.028970036748193383,14.32412645481125,1.73761417315016
16,7.92970054272458,1.6044487403895331,0.1647281592193059,0.029856828171288197,12.025601923640698,2.8022363433595943
18,9.075890803289216,1.6858472676181928,0.16637503965234654,0.028012401011494926,12.93382464256627,2.3442083109862573
20,8.671786842140444,1.7143341625955943,0.17080263661580805,0.027005020374634647,12.440987360848382,2.2947326456347397
