Components,Mean_MSE,Std_MSE,Mean_R2,Std_R2,Mean_Max_Error,Std_Max_Error
2,9.754247998841874,2.3044963167676826,0.08969010637224656,0.02376659608674752,13.970440452861794,2.5643884180447762
4,8.194953886999292,2.151215287059459,0.21485802973785167,0.04091517150069747,11.661311773150638,3.3800952416936734
6,9.35694382849479,1.8403025413807415,0.18739253239153547,0.02696799202132193,13.067206182288663,2.103867660419231
8,8.302664620517923,1.9885771529356224,0.19687176528550226,0.02359647749123846,11.694276120988562,3.1765108346833366
10,8.051743439589611,1.3231108818409099,0.20746619241938022,0.038803132360762854,12.77339217950112,2.686724427232334
12,8.059353111473976,1.0655745831345393,0.21005894801586758,0.02665941676488063,12.219332817573616,1.8989310224143252
14,8.298382664074445,1.1223052132684035,0.2015771032722332,0.012455442523395737,11.836928401303847,2.000244033411593
16,8.643453805631841,1.2426066378596505,0.19609337679742184,0.04167233068208055,11.676094928097465,1.7906264303273611
18,8.433332282110015,2.1217970870795,0.1850985935293011,0.02856690504621957,12.381496641782935,2.7707736446107707
20,7.89855760065633,1.0747949271738106,0.19915899167196463,0.0333824689111503,12.352275149124422,1.5806150447112064
