Compenents,Mean_MSE,Std_MSE,Mean_R2,Std_R2,Mean_Max_Error,Std_Max_Error
5,1.5650926786329047,0.5036939822781169,0.7615867311286435,0.05885284225515404,7.1022998291898745,1.9870693927364007
10,1.6690501835895983,0.5928890607090924,0.7467588576223237,0.08454412072535517,7.4616871554684705,1.3188886495867234
15,1.4801580176894134,0.3866837230300655,0.7759397281626101,0.05626294016244369,6.766616023289899,1.312616361288151
20,1.5715419736539786,0.3046531029868547,0.767823498326035,0.04935916639878432,6.404817999297163,1.5305448461377318
