Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std
sodium penicillin G,"1,4-dioxane",69-57-8,123-91-1,4.669827819e-07,0.0,27.85,0.0
sodium penicillin G,"1,2-dichloroethane",69-57-8,107-06-2,8.33243131e-08,0.0,27.85,0.0
sodium penicillin G,diethyl ether,69-57-8,60-29-7,1.24521598e-08,0.0,27.85,0.0
sodium penicillin G,methyl ethyl ketone,69-57-8,78-93-3,2.97093191e-08,0.0,27.85,0.0
sodium penicillin G,acetone,69-57-8,67-64-1,3.0956639e-08,0.0,27.85,0.0
procaine penicillin G,water,54-35-3,7732-18-5,1.8934055625e-07,2.684275705e-08,26.5,1.5
procaine penicillin G,isopropanol,54-35-3,67-63-0,6.610995629e-07,0.0,28.0,0.0
procaine penicillin G,isoamyl alcohol,54-35-3,123-51-3,4.054806356e-07,0.0,28.0,0.0
procaine penicillin G,cyclohexane,54-35-3,110-82-7,1.09407999e-08,0.0,28.0,0.0
procaine penicillin G,toluene,54-35-3,108-88-3,1.695375713e-07,0.0,28.0,0.0
procaine penicillin G,carbon tetrachloride,54-35-3,56-23-5,3.2302199e-08,0.0,28.0,0.0
procaine penicillin G,ethyl acetate,54-35-3,141-78-6,5.172054325e-07,0.0,28.0,0.0
procaine penicillin G,isoamyl acetate,54-35-3,123-92-2,2.733989253e-07,0.0,28.0,0.0
procaine penicillin G,carbon disulfide,54-35-3,75-15-0,6.77637054e-08,0.0,28.0,0.0
procaine penicillin G,acetone,54-35-3,67-64-1,1.5216936844e-06,0.0,28.0,0.0
1-ephenamine penicillin G,water,54-35-3,7732-18-5,3.78320866e-08,0.0,28.0,0.0
1-ephenamine penicillin G,methanol,54-35-3,67-56-1,1.1213987425e-06,0.0,28.0,0.0
1-ephenamine penicillin G,ethanol,54-35-3,64-17-5,2.027519589e-07,0.0,28.0,0.0
1-ephenamine penicillin G,chloroform,54-35-3,67-66-3,3.342638883e-07,0.0,28.0,0.0
1-ephenamine penicillin G,"1,4-dioxane",54-35-3,123-91-1,7.136904906e-07,0.0,28.0,0.0
1-ephenamine penicillin G,ethylene chloride,54-35-3,107-06-2,1.286479834e-07,0.0,28.0,0.0
1-ephenamine penicillin G,diethyl ether,54-35-3,60-29-7,6.37431959e-08,0.0,28.0,0.0
1-ephenamine penicillin G,methyl ethyl ketone,54-35-3,78-93-3,1.081649883e-07,0.0,28.0,0.0
1-ephenamine penicillin G,acetone,54-35-3,67-64-1,7.55039943e-08,0.0,28.0,0.0
1-ephenamine penicillin G,toluene,54-35-3,108-88-3,1.38209998e-08,0.0,28.0,0.0
clemizole penicillin G,water,6011-39-8,7732-18-5,3.24275029e-08,0.0,20.85,0.0
clemizole penicillin G,isopropanol,6011-39-8,67-63-0,5.198647297e-07,0.0,20.85,0.0
clemizole penicillin G,isoamyl alcohol,6011-39-8,123-51-3,1.0930340053e-06,0.0,20.85,0.0
clemizole penicillin G,cyclohexane,6011-39-8,110-82-7,8.57352406e-08,0.0,20.85,0.0
clemizole penicillin G,benzene,6011-39-8,71-43-2,3.803955553e-07,0.0,20.85,0.0
clemizole penicillin G,isooctane,6011-39-8,540-84-1,1.153722867e-07,0.0,20.85,0.0
clemizole penicillin G,carbon tetrachloride,6011-39-8,56-23-5,2.599557324e-07,0.0,20.85,0.0
clemizole penicillin G,ethyl acetate,6011-39-8,141-78-6,6.070775315e-07,0.0,20.85,0.0
clemizole penicillin G,isoamyl acetate,6011-39-8,123-92-2,4.751932742e-07,0.0,20.85,0.0
clemizole penicillin G,acetone,6011-39-8,67-64-1,1.0570548826e-06,0.0,20.85,0.0
hydrabamine penicillin G,water,3344-16-9,7732-18-5,2.1618336e-09,0.0,28.0,0.0
hydrabamine penicillin G,methanol,3344-16-9,67-56-1,3.524398758e-07,0.0,28.0,0.0
hydrabamine penicillin G,ethanol,3344-16-9,64-17-5,3.778558572e-07,0.0,28.0,0.0
hydrabamine penicillin G,isopropanol,3344-16-9,67-63-0,1.622699737e-07,0.0,28.0,0.0
hydrabamine penicillin G,benzene,3344-16-9,71-43-2,7.42044945e-08,0.0,28.0,0.0
hydrabamine penicillin G,toluene,3344-16-9,108-88-3,5.71267967e-08,0.0,28.0,0.0
hydrabamine penicillin G,isooctane,3344-16-9,540-84-1,9.9380099e-09,0.0,28.0,0.0
hydrabamine penicillin G,carbon tetrachloride,3344-16-9,56-23-5,1.215177852e-07,0.0,28.0,0.0
hydrabamine penicillin G,ethyl acetate,3344-16-9,141-78-6,2.290859475e-07,0.0,28.0,0.0
hydrabamine penicillin G,acetone,3344-16-9,67-64-1,3.136319016e-07,0.0,28.0,0.0
benzathine penicillin G,benzyl alcohol,1538-09-6,100-51-6,1.5139577079e-06,0.0,28.0,0.0
benzathine penicillin G,carbon disulfide,1538-09-6,75-15-0,4.18764482e-08,0.0,28.0,0.0
